State,Sightings,Duration,State Codes,State Name,State Census Area
ak,354,4231.830508,2,Alaska,570640.95
al,691,1393.408828,1,Alabama,50645.326
ar,666,100867.1389,5,Arkansas,52035.477
az,2689,5949.009338,4,Arizona,113594.084
ca,9655,3928.781072,6,California,155779.22
co,1505,3024.394751,8,Colorado,103641.888
ct,968,13089.21493,9,Connecticut,4842.355
dc,99,1161.224545,11,District of Columbia,61.048
de,183,868.9043716,10,Delaware,1948.543
fl,4200,13504.45926,12,Florida,53624.759
ga,1347,7968.701633,13,Georgia,57513.485
hi,353,19267.54391,15,Hawaii,6422.628
ia,707,949.6265912,19,Iowa,55857.13
id,554,968.5564982,16,Idaho,82643.117
il,2645,877.3622193,17,Illinois,55518.93
in,1386,3094.797763,18,Indiana,35826.109
ks,653,1514.714395,20,Kansas,81758.717
ky,914,4205.386761,21,Kentucky,39486.338
la,598,11481.57525,22,Louisiana,43203.905
ma,1358,1312.187776,25,Massachusetts,7800.058
md,911,833.7807903,24,Maryland,9707.241
me,633,3066.431122,23,Maine,30842.923
mi,2071,3885.088653,26,Michigan,56538.901
mn,1081,1411.120564,27,Minnesota,79626.743
mo,1576,1144.388198,29,Missouri,68741.522
ms,415,8784.190361,28,Mississippi,46923.274
mt,510,2148.723529,30,Montana,145545.801
nc,1869,1281.831648,37,North Carolina,48617.905
nd,138,1105.405797,38,North Dakota,69000.798
ne,405,1063.565432,31,Nebraska,76824.171
nh,535,2141.602804,33,New Hampshire,8952.651
nj,1512,5299.992341,34,New Jersey,7354.22
nm,815,5185.816675,35,New Mexico,121298.148
nv,905,2926.016519,32,Nevada,109781.18
ny,3219,2914.711572,36,New York,47126.399
oh,2425,1576.187773,39,Ohio,40860.694
ok,766,14929.3842,40,Oklahoma,68594.921
or,1845,1064.21045,41,Oregon,95988.013
pa,2582,3990.113091,42,Pennsylvania,44742.703
ri,290,1811.881034,44,Rhode Island,1033.814
sc,1076,1102.498885,45,South Carolina,30060.696
sd,196,2608.640306,46,South Dakota,75811
tn,1193,1610.461526,47,Tennessee,41234.896
tx,3677,2371.343283,48,Texas,261231.711
ut,743,4739.033647,49,Utah,82169.62
va,1393,9862.555276,51,Virginia,39490.086
vt,307,1077.587948,50,Vermont,9216.657
wa,4268,13545.59563,53,Washington,66455.521
wi,1333,2047.964966,55,Wisconsin,54157.805
wv,486,6239.355967,54,West Virginia,24038.21
wy,205,1841.629273,56,Wyoming,97093.141
