State Name,Data Value
Alabama,724
Alaska,107
Arizona,1725
Arkansas,439
California,5515
Colorado,992
Connecticut,1087
Delaware,403
District of Columbia,300
Florida,4921
Georgia,1384
Hawaii,223
Idaho,249
Illinois,2687
Indiana,1591
Iowa,278
Kansas,348
Kentucky,1339
Louisiana,1162
Maine,324
Maryland,2392
Massachusetts,2212
Michigan,2513
Minnesota,665
Mississippi,288
Missouri,1664
Montana,120
Nebraska,147
Nevada,752
New Hampshire,446
New Jersey,2819
New Mexico,513
New York,2144
New York City,1456
North Carolina,2225
North Dakota,63
Ohio,4036
Oklahoma,675
Oregon,547
Pennsylvania,4403
Rhode Island,344
South Carolina,1116
South Dakota,56
Tennessee,1881
Texas,2968
United States,67697
Utah,634
Vermont,147
Virginia,1464
Washington,1181
West Virginia,887
Wisconsin,1081
Wyoming,60
