name,drug_deaths,abbreviation,sightings,avg_sighting_duration,code,census_area
Alabama,724,al,691,1393.408828,1,50645.326
Alaska,107,ak,354,4231.830508,2,570640.95
Arizona,1725,az,2689,5949.009338,4,113594.084
Arkansas,439,ar,666,100867.1389,5,52035.477
California,5515,ca,9655,3928.781072,6,155779.22
Colorado,992,co,1505,3024.394751,8,103641.888
Connecticut,1087,ct,968,13089.21493,9,4842.355
Delaware,403,de,183,868.9043716,10,1948.543
District of Columbia,300,dc,99,1161.224545,11,61.048
Florida,4921,fl,4200,13504.45926,12,53624.759
Georgia,1384,ga,1347,7968.701633,13,57513.485
Hawaii,223,hi,353,19267.54391,15,6422.628
Idaho,249,id,554,968.5564982,16,82643.117
Illinois,2687,il,2645,877.3622193,17,55518.93
Indiana,1591,in,1386,3094.797763,18,35826.109
Iowa,278,ia,707,949.6265912,19,55857.13
Kansas,348,ks,653,1514.714395,20,81758.717
Kentucky,1339,ky,914,4205.386761,21,39486.338
Louisiana,1162,la,598,11481.57525,22,43203.905
Maine,324,me,633,3066.431122,23,30842.923
Maryland,2392,md,911,833.7807903,24,9707.241
Massachusetts,2212,ma,1358,1312.187776,25,7800.058
Michigan,2513,mi,2071,3885.088653,26,56538.901
Minnesota,665,mn,1081,1411.120564,27,79626.743
Mississippi,288,ms,415,8784.190361,28,46923.274
Missouri,1664,mo,1576,1144.388198,29,68741.522
Montana,120,mt,510,2148.723529,30,145545.801
Nebraska,147,ne,405,1063.565432,31,76824.171
Nevada,752,nv,905,2926.016519,32,109781.18
New Hampshire,446,nh,535,2141.602804,33,8952.651
New Jersey,2819,nj,1512,5299.992341,34,7354.22
New Mexico,513,nm,815,5185.816675,35,121298.148
New York,2144,ny,3219,2914.711572,36,47126.399
North Carolina,2225,nc,1869,1281.831648,37,48617.905
North Dakota,63,nd,138,1105.405797,38,69000.798
Ohio,4036,oh,2425,1576.187773,39,40860.694
Oklahoma,675,ok,766,14929.3842,40,68594.921
Oregon,547,or,1845,1064.21045,41,95988.013
Pennsylvania,4403,pa,2582,3990.113091,42,44742.703
Rhode Island,344,ri,290,1811.881034,44,1033.814
South Carolina,1116,sc,1076,1102.498885,45,30060.696
South Dakota,56,sd,196,2608.640306,46,75811
Tennessee,1881,tn,1193,1610.461526,47,41234.896
Texas,2968,tx,3677,2371.343283,48,261231.711
Utah,634,ut,743,4739.033647,49,82169.62
Vermont,147,vt,307,1077.587948,50,9216.657
Virginia,1464,va,1393,9862.555276,51,39490.086
Washington,1181,wa,4268,13545.59563,53,66455.521
West Virginia,887,wv,486,6239.355967,54,24038.21
Wisconsin,1081,wi,1333,2047.964966,55,54157.805
Wyoming,60,wy,205,1841.629273,56,97093.141
